"","ID","RT","acc","trial","gender","ethnicity","race","income","mother_edu","father_edu","age_years","age_months","condition","drop","target","familiarity","response","item","avg_acc","similar"
"167","46",1368,1,"3","Male","Not Hispanic","Caucasian","e","e","g",2.33,27.91,6,0,"Balloons","1","Left","BalloonsDuck ",0.85,"dissimilar"
"168","47",1796,1,"3","Male","Not Hispanic","Asian, Caucasian","f","g","g",2.46,29.52,7,0,"Apple","1","Left","AppleBear",0.65,"dissimilar"
"169","48",2224,1,"3","Female","Not Hispanic","Native Hawaiian & Caucasian","c","d","f",2.26,27.16,8,0,"Spoon","1","Left","SpoonBall",0.9,"dissimilar"
"170","49",4834,0,"3","Female","Not Hispanic","Native Hawaiian & Caucasian","c","d","f",2.26,27.16,1,0,"Doll","1","Left","CakeDoll",0.85,"dissimilar"
"171","50",3058,1,"3","Female","Not Hispanic","Asian and Caucasian","d","e","g",2.22,26.7,2,0,"Duck","1","Right","BalloonsDuck ",0.7,"dissimilar"
"172","51",3052,1,"3","Male","Not Hispanic","Caucasian","f","g","e",2.47,29.69,3,0,"Bear","1","Right","AppleBear",0.9,"dissimilar"
"173","52",3964,1,"3","Female","Not Hispanic","Caucasian","e","e","c",2.2,26.37,4,0,"Ball","1","Right","SpoonBall",0.8,"dissimilar"
"174","53",3913,1,"3","Male","Not Hispanic","Caucasian","e","c","e",2.3,27.55,5,0,"Cake","1","Left","CakeDoll",0.75,"dissimilar"
"175","54",5296,1,"3","Female","Hispanic","Caucasian","f","c","d",2.16,25.94,6,0,"Balloons","1","Left","BalloonsDuck ",0.75,"dissimilar"
"176","56",4803,1,"3","Female","Not Hispanic","Caucasian","f","g","e",2.45,29.39,8,0,"Spoon","1","Left","SpoonBall",0.9,"dissimilar"
